,Utility ID,Name,Plant Code,Nameplate Capacity (MW),Latitude,Longitude
596,56769,Consolidated Edison Development Inc.,59940,60.0,36.224758,-121.124633
597,56769,Consolidated Edison Development Inc.,59940,20.0,39.1392,-121.6387
598,56769,Consolidated Edison Development Inc.,59940,20.0,41.6014,-121.625
599,56769,Consolidated Edison Development Inc.,59940,102.5,41.5633,-121.5708
600,63249,Terraform Arcadia,59942,1.5,39.109344,-121.60931
601,59711,Bakersfield 111 LLC,59948,1.4,38.0736,-122.1411
602,58661,"Sustainable Power Group, LLC",59961,20.0,38.073889,-122.140833
603,58661,"Sustainable Power Group, LLC",59962,20.0,33.738839,-117.170369
604,58661,"Sustainable Power Group, LLC",59963,20.0,38.228522,-122.07525
605,58661,"Sustainable Power Group, LLC",59964,40.0,36.6535,-120.5783
606,59727,RE Astoria LLC,59976,100.0,36.152715,-120.148245
607,59728,RE Astoria 2 LLC,59977,75.0,38.3017,-122.7489
608,60496,"Adapture Renewables, Inc.",59978,1.5,37.7107,-121.4906
609,59736,Columbia Solar Energy LLC,59979,19.2,34.0606,-117.3533
610,17650,Southern Power Co,60007,15.0,34.0609,-117.3532
611,63249,Terraform Arcadia,60026,3.0,37.725,-121.566666
612,58661,"Sustainable Power Group, LLC",60027,20.0,35.479146,-119.737464
613,59773,"SunE Solar XVI Lessor, LLC",60032,1.0,34.0414,-117.3603
614,61423,"California Flats Solar 130, LLC",60033,130.0,38.014423,-121.790679
615,61230,"CD Arevon USA, Inc.",60034,150.0,38.338475,-121.123978
616,59775,"Solar Star California XXXI, LLC",60035,7.3,33.1533,-115.6384
617,59776,"Frontier Solar, LLC",60039,20.0,33.1669,-115.5114
618,61112,"Cuyama Solar, LLC",60043,40.0,33.1197,-117.117778
619,59791,Lindberg Field Solar I LLC,60060,2.1,33.9172,-116.735
620,59791,Lindberg Field Solar I LLC,60060,0.6,33.925,-116.617778
621,59791,Lindberg Field Solar I LLC,60060,0.5,37.3767,-121.9508
622,56769,Consolidated Edison Development Inc.,60077,15.8,37.8258,-122.2961
623,56769,Consolidated Edison Development Inc.,60078,20.0,33.9986,-118.2219
624,56769,Consolidated Edison Development Inc.,60079,20.0,33.9986,-118.2219
625,56769,Consolidated Edison Development Inc.,60080,15.0,34.1786,-118.3153
626,56769,Consolidated Edison Development Inc.,60081,20.0,33.7684,-118.2141
627,20323,"Wellhead Services, Inc",60083,1.5,38.1381,-121.8053
628,20323,"Wellhead Services, Inc",60083,1.5,37.4878,-120.8956
629,60947,Tesla Inc.,60085,3.7,37.4344,-121.9464
630,60947,Tesla Inc.,60086,3.0,33.9328,-117.855
631,61230,"CD Arevon USA, Inc.",60091,20.0,33.9141,-116.5914
632,59843,"Blythe Solar II, LLC",60092,33.2,34.2253,-119.0858
633,59843,"Blythe Solar II, LLC",60092,33.9,37.9369,-121.3294
634,59843,"Blythe Solar II, LLC",60092,32.0,37.7315,-121.116
635,59843,"Blythe Solar II, LLC",60092,32.1,33.9636,-117.4528
636,59842,"Blythe Solar 110, LLC",60093,38.7,33.9308,-117.2933
637,59842,"Blythe Solar 110, LLC",60093,36.3,40.1501,-122.2124
638,59842,"Blythe Solar 110, LLC",60093,34.8,37.1073,-120.2485
639,59844,"Blythe Solar III, LLC",60094,136.8,37.701956,-121.613708
640,59845,"Blythe Solar IV, LLC",60095,68.7,32.8769,-117.166389
641,59845,"Blythe Solar IV, LLC",60095,68.7,36.6697,-119.7404
642,61012,AES Distributed Energy,60142,1.5,37.763653,-121.614392
643,57104,Golden Springs Development Company LLC,60151,1.3,35.0925,-118.3952
644,57104,Golden Springs Development Company LLC,60153,1.2,35.0772,-118.3811
645,57104,Golden Springs Development Company LLC,60154,1.0,35.040833,-120.636667
646,57104,Golden Springs Development Company LLC,60182,2.0,32.705556,-116.3425
647,57104,Golden Springs Development Company LLC,60183,2.0,38.7928,-121.3811
648,58661,"Sustainable Power Group, LLC",60185,85.0,35.06094,-118.292406
649,58661,"Sustainable Power Group, LLC",60186,50.0,37.785556,-122.383611
650,58661,"Sustainable Power Group, LLC",60187,5.0,37.635833,-122.383888
651,59969,Whitethorn Solar LLC,60193,3.3,34.2506,-116.9025
652,60004,"Strata Roof 1, LLC",60219,1.0,33.8912,-117.6085
653,60413,"Rancho Seco Solar, LLC",60226,10.8,38.12,-121.85
654,60947,Tesla Inc.,60231,4.5,36.9178,-121.8156
655,17650,Southern Power Co,60233,185.1,35.248006,-118.175356
656,58468,Dominion Renewable Energy,60237,30.0,37.805,-121.6672
657,59050,Algonquin Power Co,60242,10.0,37.63466,-122.13381
658,12397,Metropolitan Water District of S CA,60255,2.0,41.435556,-122.376944
659,12397,Metropolitan Water District of S CA,60255,1.0,34.205556,-119.246944
660,60067,Westside Assets LLC,60275,2.0,34.0903,-117.5343
661,60059,ZGlobal Inc,60277,1.5,34.0053,-117.5604
662,58661,"Sustainable Power Group, LLC",60279,20.0,33.8073,-117.9832
663,58661,"Sustainable Power Group, LLC",60280,20.0,33.9296,-118.1046
664,63250,Central Antelope Dry Ranch B LLC,60281,3.0,38.0175,-121.7587
665,60412,"Portal Ridge Solar, LLC",60310,20.0,39.3661,-122.27
666,60412,"Portal Ridge Solar, LLC",60311,11.4,33.238842,-115.504456
667,60025,Greenbacker Renewable Energy Corporation,60315,20.0,35.1161,-118.3789
668,61672,Willow Spring Solar LLC,60324,107.9,32.93695,-117.113669
669,60118,"83WI 8ME, LLC",60336,50.0,37.4833,-120.8675
670,17650,Southern Power Co,60386,20.2,36.654114,-120.579727
671,60191,"RE Barren Ridge 1, LLC",60389,60.0,40.8981,-121.8036
672,58135,Ecos Energy LLC,60412,4.0,33.549444,-117.627777
673,61944,Goldman Sachs Renewable Power Group,60426,4.1,37.106668,-120.248504
674,58540,California PV Energy LLC,60428,2.2,37.1867,-120.4903
675,63249,Terraform Arcadia,60446,1.0,36.7575,-120.3658
676,63249,Terraform Arcadia,60450,1.1,33.9393,-116.5527
677,58661,"Sustainable Power Group, LLC",60474,20.0,36.6514,-120.5833
678,58661,"Sustainable Power Group, LLC",60475,20.0,36.809841,-119.741665
679,58661,"Sustainable Power Group, LLC",60481,20.0,34.040278,-118.148056
680,60271,"Longboat Solar, LLC",60485,20.0,41.021389,-121.675
681,60277,54 KR 8me LLC,60490,20.0,40.988056,-121.768333
682,60278,64KT 8me LLC,60491,90.0,39.986944,-121.283055
683,59462,"Heelstone Energy Holdings, LLC",60509,3.0,33.0139,-115.5439
684,59462,"Heelstone Energy Holdings, LLC",60516,3.0,34.5644,-117.6933
685,60307,NRG Solar Blythe II LLC,60558,20.0,38.1711,-121.8461
686,60352,"Golden Fields Solar I, LLC",60590,54.0,38.44979,-121.16469
687,60353,"Solar Star California, XLI, LLC",60591,54.0,37.5,-122.4
688,60399,"GASNA 6P, LLC",60678,19.8,38.003928,-121.934491
689,60399,"GASNA 6P, LLC",60678,1.5,34.431664,-118.642855
690,61012,AES Distributed Energy,60744,3.0,36.7839,-119.7094
691,61012,AES Distributed Energy,60745,2.0,33.3594,-117.1114
692,61944,Goldman Sachs Renewable Power Group,60777,128.0,32.671099,-115.587265
693,60455,"PVN Milliken, LLC",60790,3.0,33.5917,-114.7444
694,796,Arizona Electric Pwr Coop Inc,60791,2.0,36.549167,-120.111111
695,796,Arizona Electric Pwr Coop Inc,60791,1.4,34.073206,-117.512842
696,60496,"Adapture Renewables, Inc.",60813,1.0,33.985244,-117.700826
697,60947,Tesla Inc.,60824,1.0,32.796106,-116.972073
698,60495,"Sunpin Holdings, LLC",60825,74.8,33.8672,-117.23
699,60947,Tesla Inc.,60844,3.8,38.40008,-121.96366
700,60947,Tesla Inc.,60844,2.3,38.674894,-121.713362
701,60947,Tesla Inc.,60846,1.1,33.567268,-114.917979
702,60518,"California PV Energy 2, LLC",60861,2.7,34.2089,-119.13
703,61944,Goldman Sachs Renewable Power Group,60869,9.5,34.094695,-117.266831
704,60991,"Westmont Solar, LLC",60914,3.0,38.232108,-122.092706
705,60639,AEP Renewables,60947,20.0,33.565329,-114.903629
706,11208,Los Angeles Department of Water & Power,60953,1.0,34.5975,-117.2
707,60619,"Whitney Point Solar, LLC",60975,20.0,33.858056,-117.861667
708,61944,Goldman Sachs Renewable Power Group,60978,1.0,38.4106,-121.9264
709,61944,Goldman Sachs Renewable Power Group,60979,1.9,37.658889,-122.059444
710,60614,"Westside Solar, LLC",60981,20.0,37.723889,-122.4775
711,60618,"Lindberg Field Solar 2, LLC",60984,1.9,35.556111,-115.468611
712,16609,San Diego Gas & Electric Co,60995,4.3,35.533056,-115.4525
713,60648,"SCDA Solar 1, LLC",61006,7.0,35.580833,-115.4825
714,58661,"Sustainable Power Group, LLC",61013,10.5,34.9537,-120.4142
715,61012,AES Distributed Energy,61115,1.0,34.9494,-120.3803
716,61012,AES Distributed Energy,61116,1.0,33.9716,-118.0481
717,61012,AES Distributed Energy,61117,5.3,33.6481,-117.8467
718,61012,AES Distributed Energy,61118,1.0,34.038333,-117.373055
719,60947,Tesla Inc.,61152,5.2,39.0728,-121.3992
720,63447,"Imperial Valley Solar 3, LLC",61202,252.3,32.906569,-115.513747
721,60947,Tesla Inc.,61209,3.5,34.1511,-118.7236
722,58661,"Sustainable Power Group, LLC",61215,3.0,37.4975,-121.985833
723,58661,"Sustainable Power Group, LLC",61216,3.0,38.8242,-122.84
724,60991,"Westmont Solar, LLC",61249,2.9,38.8417,-122.83
725,60950,USPS LA Solar FiT A & B,61250,7.4,38.163581,-121.79661
726,58661,"Sustainable Power Group, LLC",61264,105.0,34.094279,-117.400113
727,58661,"Sustainable Power Group, LLC",61265,20.0,34.071111,-117.520277
728,11208,Los Angeles Department of Water & Power,61319,1.1,34.086276,-117.230571
729,58661,"Sustainable Power Group, LLC",61339,3.0,34.041389,-117.573055
730,60991,"Westmont Solar, LLC",61348,2.3,34.086111,-117.2275
731,60991,"Westmont Solar, LLC",61349,2.2,34.041944,-117.565
732,60986,"Imperial Valley Solar 2, LLC",61353,153.5,34.042778,-117.571666
733,61012,AES Distributed Energy,61377,2.5,34.075,-117.516944
