Date,Hour,Interval,Wind Curtailment,Solar Curtailment
08/01/2020,13,2,210,886
08/01/2020,13,3,211,938
08/01/2020,13,4,12,1251
08/01/2020,13,5,27,1141
08/01/2020,13,6,13,1136
08/01/2020,13,7,13,1238
08/01/2020,13,8,176,955
08/01/2020,13,9,184,865
08/01/2020,13,10,210,878
08/01/2020,13,11,202,944
08/01/2020,13,12,209,932
08/01/2020,14,1,206,867
08/01/2020,14,2,209,793
08/01/2020,14,3,205,797
08/01/2020,14,4,209,835
08/01/2020,14,5,209,868
08/01/2020,14,6,209,855
08/01/2020,14,7,209,925
08/01/2020,14,8,209,892
08/01/2020,14,9,208,873
08/01/2020,14,10,191,363
08/01/2020,14,11,191,269
08/01/2020,14,12,190,338
08/01/2020,15,1,8,1093
08/01/2020,15,2,209,853
08/01/2020,15,3,209,776
08/01/2020,15,4,210,777
08/01/2020,15,5,210,861
08/01/2020,15,6,23,1140
08/01/2020,15,10,212,421
08/01/2020,15,11,192,300
08/01/2020,15,12,191,401
08/01/2020,16,1,39,1347
08/01/2020,16,2,151,1745
08/01/2020,16,3,40,1241
08/01/2020,16,4,39,1065
08/01/2020,16,5,95,811
08/01/2020,16,6,223,472
08/01/2020,16,7,123,292
08/01/2020,16,8,63,169
08/01/2020,16,9,28,130
08/01/2020,16,10,22,5
08/01/2020,16,11,,5
08/01/2020,16,12,,66
08/01/2020,17,2,,5
08/01/2020,20,12,7,
08/01/2020,21,1,7,
08/01/2020,21,2,7,
08/01/2020,21,3,7,
08/01/2020,21,10,33,
09/01/2020,6,2,2,
09/01/2020,6,6,2,
09/01/2020,6,10,1,
09/01/2020,7,9,7,
09/01/2020,7,12,31,6
09/01/2020,8,1,,1
09/01/2020,8,2,,8
09/01/2020,8,4,,14
09/01/2020,9,2,35,28
09/01/2020,9,3,,9
09/01/2020,9,4,,34
09/01/2020,9,5,57,84
09/01/2020,9,6,,57
09/01/2020,9,7,6,60
09/01/2020,9,8,38,82
09/01/2020,9,9,76,128
09/01/2020,9,10,73,148
09/01/2020,9,11,61,175
09/01/2020,9,12,18,58
09/01/2020,10,1,38,250
09/01/2020,10,2,115,237
09/01/2020,10,3,172,221
09/01/2020,10,4,38,354
09/01/2020,10,5,38,334
09/01/2020,10,6,38,367
09/01/2020,10,7,16,184
09/01/2020,10,8,13,181
09/01/2020,10,9,5,95
09/01/2020,10,10,146,486
09/01/2020,10,11,182,499
09/01/2020,10,12,110,522
09/01/2020,11,1,36,824
09/01/2020,11,2,36,675
09/01/2020,11,3,36,595
09/01/2020,11,4,58,624
09/01/2020,11,5,36,663
09/01/2020,11,6,131,739
09/01/2020,11,7,241,736
09/01/2020,11,8,241,722
09/01/2020,11,9,240,814
09/01/2020,11,10,237,994
09/01/2020,11,11,238,981
09/01/2020,11,12,239,933
09/01/2020,12,1,231,477
09/01/2020,12,2,111,496
09/01/2020,12,3,217,553
09/01/2020,12,4,242,559
09/01/2020,12,5,242,612
09/01/2020,12,6,243,593
09/01/2020,12,7,241,466
09/01/2020,12,8,215,529
09/01/2020,12,9,242,640
09/01/2020,12,10,240,612
09/01/2020,12,11,234,542
09/01/2020,12,12,241,605
09/01/2020,13,1,55,1105
09/01/2020,13,2,45,1132
09/01/2020,13,3,48,1152
09/01/2020,13,4,119,1106
09/01/2020,13,5,187,1009
09/01/2020,13,6,192,1022
09/01/2020,13,7,39,1147
09/01/2020,13,8,40,1057
09/01/2020,13,9,41,883
09/01/2020,13,10,41,954
09/01/2020,13,11,218,812
09/01/2020,13,12,150,790
09/01/2020,14,1,235,458
09/01/2020,14,2,212,336
09/01/2020,14,3,112,256
09/01/2020,14,4,144,321
09/01/2020,14,5,170,435
09/01/2020,14,6,139,459
09/01/2020,14,7,181,411
09/01/2020,14,8,139,322
09/01/2020,14,9,166,333
09/01/2020,14,10,184,310
09/01/2020,14,11,108,286
09/01/2020,14,12,106,256
09/01/2020,15,1,47,335
09/01/2020,15,2,46,245
09/01/2020,15,3,46,296
09/01/2020,15,4,51,591
09/01/2020,15,5,46,89
09/01/2020,15,6,46,63
09/01/2020,15,7,39,11
09/01/2020,15,8,14,
09/01/2020,15,9,1,81
09/01/2020,15,10,,8
09/01/2020,16,1,,78
09/01/2020,16,2,24,170
09/01/2020,16,3,43,167
09/01/2020,16,4,,153
09/01/2020,16,5,,125
09/01/2020,16,6,,151
09/01/2020,16,7,,14
09/01/2020,20,2,9,
10/01/2020,8,1,,4
10/01/2020,8,6,,5
10/01/2020,8,9,,14
10/01/2020,8,10,,76
10/01/2020,8,11,,22
10/01/2020,8,12,,17
10/01/2020,9,1,17,123
10/01/2020,9,2,,37
10/01/2020,9,3,,151
10/01/2020,9,4,,3
10/01/2020,9,5,,92
10/01/2020,9,6,,103
10/01/2020,9,7,14,200
10/01/2020,9,8,20,207
10/01/2020,9,9,15,203
10/01/2020,9,10,,137
10/01/2020,9,11,,73
10/01/2020,9,12,,13
10/01/2020,10,1,,34
10/01/2020,10,2,,98
10/01/2020,10,3,,105
10/01/2020,10,7,4,231
10/01/2020,10,8,1,231
10/01/2020,10,9,,189
10/01/2020,10,10,,263
10/01/2020,10,11,2,324
10/01/2020,10,12,,308
10/01/2020,11,1,,467
10/01/2020,11,2,,460
10/01/2020,11,3,,430
10/01/2020,11,4,,407
10/01/2020,11,5,,414
10/01/2020,11,6,,421
10/01/2020,11,7,,443
10/01/2020,11,8,,452
10/01/2020,11,9,,326
10/01/2020,11,10,,362
10/01/2020,11,11,,374
10/01/2020,11,12,,381
10/01/2020,12,1,,44
10/01/2020,12,2,,20
10/01/2020,12,3,,31
10/01/2020,12,4,,201
10/01/2020,12,5,,241
10/01/2020,12,6,,112
10/01/2020,12,7,,183
10/01/2020,12,8,,333
10/01/2020,12,9,,318
10/01/2020,12,10,,283
10/01/2020,12,11,,150
10/01/2020,12,12,,183
10/01/2020,13,1,,332
10/01/2020,13,2,,320
10/01/2020,13,3,,377
10/01/2020,13,4,,596
10/01/2020,13,5,,647
10/01/2020,13,6,,684
10/01/2020,13,7,,773
10/01/2020,13,8,,674
10/01/2020,13,9,,780
10/01/2020,13,10,,604
10/01/2020,13,11,,502
10/01/2020,13,12,,557
10/01/2020,14,1,,452
10/01/2020,14,2,,289
10/01/2020,14,3,,289
10/01/2020,14,4,,412
10/01/2020,14,5,,436
10/01/2020,14,6,,429
10/01/2020,14,7,,574
10/01/2020,14,8,,540
10/01/2020,14,9,,529
10/01/2020,14,10,,472
10/01/2020,14,11,,372
10/01/2020,14,12,,259
10/01/2020,15,1,,358
10/01/2020,15,2,,278
10/01/2020,15,3,,276
10/01/2020,15,4,,259
10/01/2020,15,5,,246
10/01/2020,15,6,,248
10/01/2020,15,7,,229
10/01/2020,15,8,,225
10/01/2020,15,9,,199
10/01/2020,15,10,,7
10/01/2020,16,1,,226
10/01/2020,16,2,,115
10/01/2020,16,3,,408
10/01/2020,16,4,,121
10/01/2020,16,5,,47
10/01/2020,16,6,,11
11/01/2020,8,1,,4
11/01/2020,8,3,,7
11/01/2020,8,5,,3
11/01/2020,8,6,,22
11/01/2020,8,9,,2
11/01/2020,8,11,,3
11/01/2020,9,6,,9
11/01/2020,9,7,,7
11/01/2020,9,8,,5
11/01/2020,9,9,23,121
11/01/2020,9,10,18,223
11/01/2020,9,11,22,237
11/01/2020,9,12,38,1041
11/01/2020,10,1,81,1182
11/01/2020,10,2,78,1022
11/01/2020,10,3,65,557
11/01/2020,10,4,55,284
11/01/2020,10,5,48,325
11/01/2020,10,6,48,462
11/01/2020,10,7,48,679
11/01/2020,10,8,49,764
11/01/2020,10,9,49,782
11/01/2020,10,10,69,935
11/01/2020,10,11,46,901
11/01/2020,10,12,69,1299
11/01/2020,11,1,69,1327
11/01/2020,11,2,49,1219
11/01/2020,11,3,49,1243
11/01/2020,11,4,50,908
11/01/2020,11,5,50,995
11/01/2020,11,6,51,1114
11/01/2020,11,7,51,1261
11/01/2020,11,8,52,1341
11/01/2020,11,9,97,1526
